check-targets: OK, 238 cargo test targets all accounted for in scripts/acceptance-targets.tsv
acceptance-wsl: logs in /private/tmp/claude-501/-Users-zerozaki07-tmp-libmuffintin/e260fabd-b225-4ee1-80e9-75310e7132bc/scratchpad/audit/baseline
RUN_EXIT upstream_sparse_mp3_t ranks=1 exit=0
RUN_EXIT upstream_sparse_mp3_t ranks=2 exit=0
RUN_EXIT upstream_sparse_mp3_t ranks=4 exit=0
RUN_EXIT distributed_sparse_diagonal ranks=1 exit=0
RUN_EXIT distributed_sparse_diagonal ranks=2 exit=0
RUN_EXIT distributed_sparse_diagonal ranks=4 exit=0
RUN_EXIT upstream_fast_3mm ranks=1 exit=0
RUN_EXIT upstream_fast_3mm ranks=2 exit=0
RUN_EXIT upstream_fast_3mm ranks=4 exit=0
RUN_EXIT upstream_fast_diagram ranks=1 exit=0
RUN_EXIT upstream_fast_diagram ranks=2 exit=0
RUN_EXIT upstream_fast_diagram ranks=4 exit=0
RUN_EXIT upstream_fast_sym_4d ranks=1 exit=0
RUN_EXIT upstream_fast_sym_4d ranks=2 exit=0
RUN_EXIT upstream_fast_sym_4d ranks=4 exit=0
RUN_EXIT upstream_fast_sym ranks=1 exit=0
RUN_EXIT upstream_fast_sym ranks=2 exit=0
RUN_EXIT upstream_fast_sym ranks=4 exit=0
RUN_EXIT upstream_fast_as_as_sy_tensor_ctr ranks=1 exit=0
RUN_EXIT upstream_fast_as_as_sy_tensor_ctr ranks=2 exit=0
RUN_EXIT upstream_fast_as_as_sy_tensor_ctr ranks=4 exit=0
RUN_EXIT upstream_fast_sy_as_as_tensor_ctr ranks=1 exit=0
RUN_EXIT upstream_fast_sy_as_as_tensor_ctr ranks=2 exit=0
RUN_EXIT upstream_fast_sy_as_as_tensor_ctr ranks=4 exit=0
RUN_EXIT upstream_fast_tensor_ctr ranks=1 exit=0
RUN_EXIT upstream_fast_tensor_ctr ranks=2 exit=0
RUN_EXIT upstream_fast_tensor_ctr ranks=4 exit=0
RUN_EXIT d4_memcontrol ranks=1 exit=101
RUN_EXIT d4_memcontrol ranks=2 exit=101
RUN_EXIT d4_memcontrol ranks=4 exit=101
RUN_EXIT d4_timer_util ranks=1 exit=0
RUN_EXIT d4_timer_util ranks=2 exit=0
RUN_EXIT d4_timer_util ranks=4 exit=0
RUN_EXIT d4_blas_flops ranks=1 exit=0
RUN_EXIT d4_blas_flops ranks=2 exit=0
RUN_EXIT d4_blas_flops ranks=4 exit=0
RUN_EXIT d5_common ranks=1 exit=0
RUN_EXIT d5_common ranks=2 exit=0
RUN_EXIT d5_common ranks=4 exit=0
RUN_EXIT d5_value_interfaces ranks=1 exit=0
RUN_EXIT d5_value_interfaces ranks=2 exit=0
RUN_EXIT d5_value_interfaces ranks=4 exit=0
RUN_EXIT d5_algebra_interfaces ranks=1 exit=0
RUN_EXIT d5_algebra_interfaces ranks=2 exit=0
RUN_EXIT d5_algebra_interfaces ranks=4 exit=0
RUN_EXIT upstream_fft_with_idx_partition ranks=1 exit=0
RUN_EXIT upstream_fft_with_idx_partition ranks=2 exit=0
RUN_EXIT upstream_fft_with_idx_partition ranks=4 exit=0
RUN_EXIT upstream_fft ranks=1 exit=0
RUN_EXIT upstream_fft ranks=2 exit=0
RUN_EXIT upstream_fft ranks=4 exit=0
RUN_EXIT upstream_dft_3d ranks=1 exit=0
RUN_EXIT upstream_dft_3d ranks=2 exit=0
RUN_EXIT upstream_dft_3d ranks=4 exit=0
RUN_EXIT upstream_test_suite_dense ranks=1 exit=0
RUN_EXIT upstream_test_suite_dense ranks=2 exit=0
RUN_EXIT upstream_test_suite_dense ranks=4 exit=0
RUN_EXIT upstream_matmul ranks=1 exit=0
RUN_EXIT upstream_matmul ranks=2 exit=0
RUN_EXIT upstream_matmul ranks=4 exit=0
RUN_EXIT upstream_recursive_matmul ranks=1 exit=0
RUN_EXIT upstream_recursive_matmul ranks=2 exit=0
RUN_EXIT upstream_recursive_matmul ranks=4 exit=0
RUN_EXIT upstream_ccsd ranks=1 exit=0
RUN_EXIT upstream_ccsd ranks=2 exit=0
RUN_EXIT upstream_ccsd ranks=4 exit=0
RUN_EXIT upstream_ao_mo_transf ranks=1 exit=0
RUN_EXIT upstream_ao_mo_transf ranks=2 exit=0
RUN_EXIT upstream_ao_mo_transf ranks=4 exit=0
RUN_EXIT upstream_neural_network ranks=1 exit=0
RUN_EXIT upstream_neural_network ranks=2 exit=0
RUN_EXIT upstream_neural_network ranks=4 exit=0
RUN_EXIT upstream_bitonic_sort ranks=1 exit=0
RUN_EXIT upstream_bitonic_sort ranks=2 exit=0
RUN_EXIT upstream_bitonic_sort ranks=4 exit=0
RUN_EXIT upstream_checkpoint ranks=1 exit=0
RUN_EXIT upstream_checkpoint ranks=2 exit=0
RUN_EXIT upstream_checkpoint ranks=4 exit=0
RUN_EXIT upstream_force_integration ranks=1 exit=0
RUN_EXIT upstream_force_integration ranks=2 exit=0
RUN_EXIT upstream_force_integration ranks=4 exit=0
RUN_EXIT upstream_particle_interaction ranks=1 exit=0
RUN_EXIT upstream_particle_interaction ranks=2 exit=0
RUN_EXIT upstream_particle_interaction ranks=4 exit=0
RUN_EXIT upstream_qinformatics ranks=1 exit=0
RUN_EXIT upstream_qinformatics ranks=2 exit=0
RUN_EXIT upstream_qinformatics ranks=4 exit=0
RUN_EXIT upstream_mttkrp ranks=1 exit=0
RUN_EXIT upstream_mttkrp ranks=2 exit=0
RUN_EXIT upstream_mttkrp ranks=4 exit=0
RUN_EXIT distributed_symmetric_io ranks=1 exit=0
RUN_EXIT distributed_symmetric_io ranks=2 exit=0
RUN_EXIT distributed_symmetric_io ranks=4 exit=0
RUN_EXIT distributed_symmetric_operations ranks=1 exit=0
RUN_EXIT distributed_symmetric_operations ranks=2 exit=0
RUN_EXIT distributed_symmetric_operations ranks=4 exit=0
RUN_EXIT distributed_symmetric_repack ranks=1 exit=0
RUN_EXIT distributed_symmetric_repack ranks=2 exit=0
RUN_EXIT distributed_symmetric_repack ranks=4 exit=0
RUN_EXIT distributed_packed_sum ranks=1 exit=0
RUN_EXIT distributed_packed_sum ranks=2 exit=0
RUN_EXIT distributed_packed_sum ranks=4 exit=0
RUN_EXIT distributed_packed_contraction ranks=1 exit=0
RUN_EXIT distributed_packed_contraction ranks=2 exit=0
RUN_EXIT distributed_packed_contraction ranks=4 exit=0
RUN_EXIT distributed_canonical_sum ranks=1 exit=0
RUN_EXIT distributed_canonical_sum ranks=2 exit=0
RUN_EXIT distributed_canonical_sum ranks=4 exit=0
